Date : 2020-12-14 22:27:35
Directory : /Users/paulkim/Desktop/cs_projects/Retrievo_client
Total : 123 files,  34325 codes, 732 comments, 794 blanks, all 35851 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/Calendar/index.tsx                                       | TypeScript React |         57 |          1 |          8 |         66 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/Calendar/react_dates_override.css                        | CSS              |         41 |         24 |         12 |         77 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/Chart/Chart.stories.tsx                                  | TypeScript React |         88 |         20 |          9 |        117 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/Chart/index.tsx                                          | TypeScript React |        133 |          4 |         16 |        153 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/Chart/types.ts                                           | TypeScript       |         27 |          1 |          6 |         34 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/Chart/utils.ts                                           | TypeScript       |        124 |          0 |          9 |        133 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/DeleteableAvatar/DeleteableAvatar.styled.tsx             | TypeScript React |         15 |          0 |          3 |         18 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/DeleteableAvatar/index.tsx                               | TypeScript React |         32 |          0 |          4 |         36 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/Form/form.stories.tsx                                    | TypeScript React |         55 |          0 |          6 |         61 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/Form/index.tsx                                           | TypeScript React |         85 |          3 |          7 |         95 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/Heading/heading.stories.tsx                              | TypeScript React |         95 |          0 |         13 |        108 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/Heading/heading.styled.tsx                               | TypeScript React |          1 |          0 |          1 |          2 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/Heading/index.tsx                                        | TypeScript React |         80 |          1 |         17 |         98 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/IconButton/IconButton.stories.tsx                        | TypeScript React |         27 |          0 |          4 |         31 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/IconButton/index.tsx                                     | TypeScript React |         72 |          0 |          8 |         80 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/Input/Input.stories.tsx                                  | TypeScript React |         41 |          0 |          6 |         47 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/Input/index.tsx                                          | TypeScript React |         53 |          0 |          4 |         57 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/Label/index.tsx                                          | TypeScript React |         87 |          0 |          8 |         95 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/Label/label.stories.tsx                                  | TypeScript React |         63 |          1 |          6 |         70 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/Label/label.styled.tsx                                   | TypeScript React |          1 |          0 |          1 |          2 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/LabelSearchInput/index.tsx                               | TypeScript React |        101 |          6 |         15 |        122 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/LabelSearchInput/label.styled.tsx                        | TypeScript React |          1 |          0 |          1 |          2 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/LabelSearchInput/labelSearchInput.stories.tsx            | TypeScript React |         41 |          1 |          7 |         49 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/ListItem/ListItem.stories.tsx                            | TypeScript React |         21 |          0 |          5 |         26 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/ListItem/index.tsx                                       | TypeScript React |         15 |          0 |          5 |         20 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/RoundButton/RoundButton.stories.tsx                      | TypeScript React |         98 |          0 |          9 |        107 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/RoundButton/RoundButton.styled.tsx                       | TypeScript React |          1 |          0 |          1 |          2 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/RoundButton/index.tsx                                    | TypeScript React |         89 |          0 |         11 |        100 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/Spinner/Spinner.stories.tsx                              | TypeScript React |         40 |          0 |          5 |         45 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/Spinner/index.tsx                                        | TypeScript React |         46 |          1 |          7 |         54 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/Text/index.tsx                                           | TypeScript React |         20 |          0 |          4 |         24 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/Text/text.stories.tsx                                    | TypeScript React |         53 |          0 |          7 |         60 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/Text/text.styled.tsx                                     | TypeScript React |          1 |          0 |          1 |          2 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/TextArea/Input.stories.tsx                               | TypeScript React |         41 |          0 |          6 |         47 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/TextArea/index.tsx                                       | TypeScript React |         77 |          0 |          6 |         83 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/TextButton/TextButton.stories.tsx                        | TypeScript React |         51 |          0 |          7 |         58 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/TextButton/index.tsx                                     | TypeScript React |         53 |          0 |          7 |         60 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/Toast/toast.stories.tsx                                  | TypeScript React |         44 |          0 |          4 |         48 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/UserSelector/index.tsx                                   | TypeScript React |        136 |         10 |         20 |        166 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/UserSelector/userSelector.stories.tsx                    | TypeScript React |         70 |          1 |          7 |         78 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/generated/graphql.tsx                                               | TypeScript React |        510 |         22 |         77 |        609 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/graphql/fragments/RegularError.graphql                              | GraphQL          |          4 |          0 |          1 |          5 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/graphql/query/boards.graphql                                        | GraphQL          |         13 |          0 |          1 |         14 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/hooks/useLoadMore.ts                                                | TypeScript       |         30 |          2 |          9 |         41 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/hooks/useLocalStorage.ts                                            | TypeScript       |         19 |          0 |          7 |         26 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/index.tsx                                                           | TypeScript React |         16 |          0 |          3 |         19 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/layouts/Modal/ModalLayout.stories.tsx                               | TypeScript React |         17 |          1 |          6 |         24 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/layouts/Modal/index.tsx                                             | TypeScript React |         62 |          0 |          4 |         66 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/layouts/PageHeader/index.tsx                                        | TypeScript React |         40 |          0 |          6 |         46 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/layouts/PageHeader/pageHeader.stories.tsx                           | TypeScript React |         13 |          1 |          5 |         19 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/layouts/SideNav/index.tsx                                           | TypeScript React |        125 |          0 |          6 |        131 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/layouts/SideNav/sideNav.stories.tsx                                 | TypeScript React |          8 |          0 |          4 |         12 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/layouts/TaskBar/SprintSelector/index.tsx                            | TypeScript React |         69 |          0 |          6 |         75 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/layouts/TaskBar/SprintSelector/sprintSelector.stories.tsx           | TypeScript React |         37 |          2 |          4 |         43 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/layouts/TaskBar/TextLabel/index.tsx                                 | TypeScript React |         13 |          0 |          4 |         17 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/layouts/TaskBar/index.tsx                                           | TypeScript React |        461 |         11 |         24 |        496 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/layouts/TaskBar/taskBar.stories.tsx                                 | TypeScript React |         13 |          1 |          5 |         19 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/layouts/TaskBoard/TaskBoard/SkeletonBoard.tsx                       | TypeScript React |        106 |          3 |         10 |        119 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/layouts/TaskBoard/TaskBoard/index.tsx                               | TypeScript React |        117 |        127 |          8 |        252 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/layouts/TaskBoard/TaskBoard/taskBoard.stories.tsx                   | TypeScript React |        105 |          0 |          5 |        110 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/layouts/TaskBoard/TaskBoardContainer/index.tsx                      | TypeScript React |         33 |          0 |          3 |         36 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/layouts/TaskBoard/TaskBoardContainer/taskBoardContainer.stories.tsx | TypeScript React |          8 |          0 |          4 |         12 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/layouts/TaskBoard/TaskBoardList/index.tsx                           | TypeScript React |        133 |        142 |         21 |        296 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/layouts/TaskBoard/TaskBoardList/taskBoardList.stories.tsx           | TypeScript React |        220 |        241 |          4 |        465 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/layouts/TaskBoard/TaskCard/DragPositionCard.tsx                     | TypeScript React |         32 |          0 |          4 |         36 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/layouts/TaskBoard/TaskCard/index.tsx                                | TypeScript React |        118 |          0 |         11 |        129 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/layouts/TaskBoard/TaskCard/taskCard.stories.tsx                     | TypeScript React |         60 |          0 |          5 |         65 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/layouts/TopNav/ProjectListDropdown/index.tsx                        | TypeScript React |         81 |         20 |          6 |        107 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/layouts/TopNav/ProjectListDropdown/projectListDropdown.stories.tsx  | TypeScript React |         37 |          2 |          4 |         43 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/layouts/TopNav/index.tsx                                            | TypeScript React |         86 |          1 |          5 |         92 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/layouts/TopNav/topNav.stories.tsx                                   | TypeScript React |         57 |          2 |          4 |         63 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/pages/Dashboard/ActivityStream/ActivityStream.styled.tsx            | TypeScript React |         14 |          0 |          4 |         18 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/pages/Dashboard/ActivityStream/index.tsx                            | TypeScript React |        127 |         16 |          8 |        151 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/pages/Dashboard/Charts/IncompleteTasks.tsx                          | TypeScript React |         18 |          0 |          4 |         22 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/pages/Dashboard/Charts/TasksByAssignee.tsx                          | TypeScript React |         48 |          0 |          4 |         52 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/pages/Dashboard/Charts/index.tsx                                    | TypeScript React |         48 |          0 |          3 |         51 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/pages/Dashboard/Charts/taskCountSummary.tsx                         | TypeScript React |         16 |          0 |          4 |         20 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/pages/Dashboard/MyTasks/MyTasks.styled.tsx                          | TypeScript React |         14 |          0 |          4 |         18 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/pages/Dashboard/MyTasks/index.tsx                                   | TypeScript React |        128 |          3 |         13 |        144 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/pages/Dashboard/ReportCard/index.tsx                                | TypeScript React |         83 |         20 |          8 |        111 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/pages/Dashboard/ReportHero/index.tsx                                | TypeScript React |         65 |          1 |          5 |         71 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/pages/Dashboard/index.tsx                                           | TypeScript React |         88 |          4 |          7 |         99 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/pages/MyProfile/Forms/index.tsx                                     | TypeScript React |         59 |          0 |          3 |         62 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/pages/MyProfile/Forms/roleSelectInput.tsx                           | TypeScript React |         34 |          3 |          6 |         43 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/pages/MyProfile/MyProfile.styled.tsx                                | TypeScript React |         14 |          0 |          4 |         18 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/pages/MyProfile/index.tsx                                           | TypeScript React |         39 |          0 |          6 |         45 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/pages/ProjectSetting/AccessPermission/index.tsx                     | TypeScript React |        146 |          0 |         12 |        158 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/pages/ProjectSetting/BasicDetail/BasicDetail.styled.tsx             | TypeScript React |         34 |          0 |          6 |         40 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/pages/ProjectSetting/BasicDetail/index.tsx                          | TypeScript React |         49 |          0 |          4 |         53 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/pages/ProjectSetting/index.tsx                                      | TypeScript React |         17 |          0 |          3 |         20 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/pages/Register/index.ts                                             | TypeScript       |          1 |          0 |          1 |          2 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/pages/Sprint/Accordion/SprintItem.tsx                               | TypeScript React |        111 |          0 |          6 |        117 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/pages/Sprint/Accordion/TaskList.tsx                                 | TypeScript React |        213 |          5 |          5 |        223 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/pages/Sprint/Accordion/TaskListEntry.tsx                            | TypeScript React |         60 |          1 |          4 |         65 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/pages/Sprint/Accordion/index.tsx                                    | TypeScript React |         98 |          3 |          6 |        107 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/pages/Sprint/index.tsx                                              | TypeScript React |         35 |          7 |          5 |         47 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/react-app-env.d.ts                                                  | TypeScript       |          0 |          1 |          1 |          2 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/styles/theme.ts                                                     | TypeScript       |         64 |          0 |          3 |         67 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/tsconfig.json                                                           | JSON             |         27 |          0 |          1 |         28 |
| Total                                                                                                                      |                  |     34,325 |        732 |        794 |     35,851 |
+----------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
